DB_ID	Start_Coordiate	End_Coordinate	Old_Display_Name	New_Display_Name		 
2533999	17	2415	"KS(2),CSE-ACAN C-term fragment [extracellular region]"	ACAN [extracellular region]		
2533997	-1	2415	"KS(2),C6S-ACAN C-term fragment [extracellular region]"	ACAN [extracellular region]		
2533995	17	-1	ACAN N-term fragment [extracellular region]	ACAN [extracellular region]		
2046287	17	2415	KS(2)-ACAN [extracellular region]	ACAN [extracellular region]		
2318645	17	2415	"KS(2),C4S-ACAN [extracellular region]"	ACAN [extracellular region]		
2533989	-1	2415	"KS(2),C4S-ACAN C-term fragment [extracellular region]"	ACAN [extracellular region]		
2318627	17	2415	"KS(2),CSE-ACAN [extracellular region]"	ACAN [extracellular region]		
2318671	17	2415	"KS(2),C6S-ACAN [extracellular region]"	ACAN [extracellular region]		
2299702	17	2415	 ACAN [extracellular region]	ACAN [extracellular region]		
2046174	17	2415	Keratan(4)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046278	17	2415	KS(1)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046164	17	2415	N-glycan ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046207	17	2415	Keratan(3)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046224	17	2415	Gal-glycan ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046311	17	2415	Keratan(2)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046214	17	2415	Keratan(1)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2046200	17	2415	KS(2)-ACAN [Golgi lumen]	ACAN [Golgi lumen]		
2105015	17	2415	 ACAN [lysosomal lumen]	ACAN [lysosomal lumen]		
2046195	17	2415	KS(2)-ACAN [lysosomal lumen]	ACAN [lysosomal lumen]		
212516	1094	1341	Acinus fragment (1094-1341) [cytosol]	ACIN1 [cytosol]		
212520	1	1093	Acinus fragment (1-1093) [cytosol]	ACIN1 [cytosol]		
212519	1	1341	Acinus [cytosol]	ACIN1 [cytosol]		
1297304	23	null	Acrosin Heavy Chain [extracellular region]	ACR [extracellular region]		
1297342	1	22	Acrosin light chain [extracellular region]	ACR [extracellular region]		
1297346	null	null	Acrosin [extracellular region]	ACR [extracellular region]		
201861	1	-1	beta-actin [cytosol]	ACTB [cytosol]		
390462	null	null	unfolded beta-actin [cytosol]	ACTB [cytosol]		
428322	1	-1	Beta-actin mRNA isoform 001 [cytosol]	ACTB [cytosol]		
201858	1	-1	cytoplasmic actin 2 [cytosol]	ACTG1 [cytosol]		
391397	1	-1	unfolded cytoplasmic actin 2 [cytosol]	ACTG1 [cytosol]		
203003	1	-1	cytoplasmic actin 2 [plasma membrane]	ACTG1 [plasma membrane]		
196044	1	-1	cytoplamic actin 2 [plasma membrane]	ACTG1 [plasma membrane]		
350572	1	-1	ADC variant 3 [cytosol]	ADC [cytosol]		
350589	1	-1	ADC variant 1 [cytosol]	ADC [cytosol]		
350596	1	-1	ADC variant 5 [cytosol]	ADC [cytosol]		
350563	1	-1	ADC variant 2 [cytosol]	ADC [cytosol]		
350569	1	-1	ADC variant 4 [cytosol]	ADC [cytosol]		
442762	1	1119	Adenylate cyclase type 1 [plasma membrane]	ADCY1 [plasma membrane]		
53231	1	-1	"Adenylate cyclase, type I  [plasma membrane]"	ADCY1 [plasma membrane]		
420254	82	129	PACAP-related peptide [extracellular region]	ADCYAP1 [extracellular region]		
420282	132	169	Pituitary adenylate cyclase-activating polypeptide-38 [extracellular region]	ADCYAP1 [extracellular region]		
420144	132	158	Pituitary adenylate cyclase-activating polypeptide-27 [extracellular region]	ADCYAP1 [extracellular region]		
425506	1	737	"Adducin alpha, phosphorylated MARCKS-related domain  [cytosol]"	ADD1 [cytosol]		
201623	1	737	Adducin alpha [cytosol]	ADD1 [cytosol]		
419924	1	737	"p-Alpha adducin (Thr-445, Thr-480) [cytosol]"	ADD1 [cytosol]		
202890	634	737	Alpha  adducin fragment (634-737) [cytosol]	ADD1 [cytosol]		
420417	1	737	"Adducin alpha, PKA phosphorylated [cytosol]"	ADD1 [cytosol]		
202891	1	633	Alpha  adducin  fragment (1-633) [cytosol]	ADD1 [cytosol]		
425505	2	726	"Adducin beta, phosphorylated MARCKS-related domain [cytosol]"	ADD2 [cytosol]		
420043	2	726	Adducin beta [cytosol]	ADD2 [cytosol]		
400065	1	-1	Alpha-2A adrenergic Receptor [plasma membrane]	ADRA2A [plasma membrane]		
390655	1	450	Alpha-2A adrenoceptor [plasma membrane]	ADRA2A [plasma membrane]		
390662	1	462	Alpha-2C adrenoceptor [plasma membrane]	ADRA2C [plasma membrane]		
400030	1	-1	Alpha-2C Adrenergic Receptor [plasma membrane]	ADRA2C [plasma membrane]		
2064220	30	2045	xylosyl-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076606	30	2045	HS(5)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2064040	30	2045	Gal-Gal-Xyl-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076350	30	2045	HS(1)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076317	30	2045	Heparan(1)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076530	30	2045	Heparan-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076568	30	2045	HS(6)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076337	30	2045	HS(4)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076521	30	2045	HS(2)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076569	30	2045	Heparan(3)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076301	30	2045	Heparan(2)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2064200	30	2045	GlcA-Gal-Gal-Xyl-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2064130	30	2045	Gal-Xyl-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076300	30	2045	Heparan(4)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076493	30	2045	HS(3)-AGRN [Golgi lumen]	AGRN [Golgi lumen]		
2076634	30	2045	HS(1)-AGRN [plasma membrane]	AGRN [plasma membrane]		
2076642	30	2045	HS(5)-AGRN [plasma membrane]	AGRN [plasma membrane]		
2076686	30	2045	HS(2)-AGRN [plasma membrane]	AGRN [plasma membrane]		
2076678	30	2045	HS(6)-AGRN [plasma membrane]	AGRN [plasma membrane]		
2076654	30	2045	HS(4)-AGRN [plasma membrane]	AGRN [plasma membrane]		
2076663	30	2045	HS(3)-AGRN [plasma membrane]	AGRN [plasma membrane]		
374187	34	41	Angiotensin-(1-8) [extracellular region]	AGT [extracellular region]		
2022354	35	41	Angiotensin-(2-8) [extracellular region]	AGT [extracellular region]		
2022351	34	40	Angiotensin-(1-7) [extracellular region]	AGT [extracellular region]		
1998759	34	485	Angiotensinogen [extracellular region]	AGT [extracellular region]		
2022355	36	41	Angiotensin-(3-8) [extracellular region]	AGT [extracellular region]		
2022348	34	42	Angiotensin-(1-9) [extracellular region]	AGT [extracellular region]		
2022346	34	43	Angiotensin-(1-10) [extracellular region]	AGT [extracellular region]		
195000	1	-1	AKAP13 variant1 [cytosol]	AKAP13 [cytosol]		
195006	1	-1	AKAP13 variant5 [cytosol]	AKAP13 [cytosol]		
194980	1	-1	AKAP13 variant2 [cytosol]	AKAP13 [cytosol]		
195007	1	-1	AKAP13 variant4 [cytosol]	AKAP13 [cytosol]		
380260	1	-1	GC-NAP [cytosol]	AKAP9 [cytosol]		
432276	null	null	A kinase Anchor protein (Yotiao) [cytosol]	AKAP9 [cytosol]		
198356	1	-1	"p-T308, S473-AKT1 [cytosol]"	AKT1 [cytosol]		
2243935	1	480	"p-T308,S473-AKT1 E17K mutant [cytosol]"	AKT1 [cytosol]		
198634	1	-1	Phospho-AKT1 (T308) [cytosol]	AKT1 [cytosol]		
2219526	1	480	AKT1 E17K mutant [cytosol]	AKT1 [cytosol]		
2399994	1	480	"p-T308,S473-AKT1 E17K mutant [nucleoplasm]"	AKT1 [nucleoplasm]		
198696	1	-1	Phospho-AKT1 (T308) [nucleoplasm]	AKT1 [nucleoplasm]		
198357	1	-1	"Phospho-AKT1 (T308, S473) [nucleoplasm]"	AKT1 [nucleoplasm]		
199428	1	-1	Phospho-AKT1 (T308) [plasma membrane]	AKT1 [plasma membrane]		
2243944	1	480	p-S473-AKT1 E17K mutant [plasma membrane]	AKT1 [plasma membrane]		
1500573	1	480	AKT1 E17K mutant [plasma membrane]	AKT1 [plasma membrane]		
377265	1	-1	Phospho-AKT1 (S473) [plasma membrane]	AKT1 [plasma membrane]		
199430	1	-1	"p-T308, S473-AKT1 [plasma membrane]"	AKT1 [plasma membrane]		
200163	1	256	"p-S183,T246-AKT1S1 [cytosol]"	AKT1S1 [cytosol]		
377124	1	-1	Phospho-Proline-rich AKT1 substrate 1 (T246) [cytosol]	AKT1S1 [cytosol]		
377076	1	-1	"Phospho-Proline-rich AKT1 substrate 1 (S183, S221, T246) [cytosol]"	AKT1S1 [cytosol]		
202066	1	-1	Phospho-AKT2 (T309) [cytosol]	AKT2 [cytosol]		
202062	1	-1	"Phospho-AKT2 (T309, S474) [cytosol]"	AKT2 [cytosol]		
166800	1	-1	Phosphorylated RAC-beta serine/threonine protein kinase [cytosol]	AKT2 [cytosol]		
166433	1	-1	Phosphorylated RAC-beta serine/threonine protein kinase [cytosol]	AKT2 [cytosol]		
2317312	1	-1	p-S474-AKT2 [plasma membrane]	AKT2 [plasma membrane]		
202057	1	-1	Phospho-AKT2 (T309) [plasma membrane]	AKT2 [plasma membrane]		
202056	1	-1	"Phospho-AKT2 (T309, S474) [plasma membrane]"	AKT2 [plasma membrane]		
202094	1	479	Phospho-AKT3-2 (T305) [cytosol]	AKT3 [cytosol]		
202079	1	479	"Phospho-AKT3-2 (T305, S472) [cytosol]"	AKT3 [cytosol]		
202069	1	479	"Phospho-AKT3-1 (T305, S472) [cytosol]"	AKT3 [cytosol]		
202083	1	479	AKT3-1 [cytosol]	AKT3 [cytosol]		
202097	1	479	Phospho-AKT3-1 (T305) [cytosol]	AKT3 [cytosol]		
202060	1	479	AKT3-2 [cytosol]	AKT3 [cytosol]		
202061	1	479	"Phospho-AKT3-2 (T305, S472) [nucleoplasm]"	AKT3 [nucleoplasm]		
202078	1	479	"Phospho-AKT3-1 (T305, S472) [nucleoplasm]"	AKT3 [nucleoplasm]		
202077	1	479	AKT3-1 [plasma membrane]	AKT3 [plasma membrane]		
2317315	1	479	p-S472-AKT3-1 [plasma membrane]	AKT3 [plasma membrane]		
202093	1	479	AKT3-2 [plasma membrane]	AKT3 [plasma membrane]		
2317316	1	479	p-S472-AKT3-2 [plasma membrane]	AKT3 [plasma membrane]		
202092	1	479	Phospho-AKT3-2 (T305) [plasma membrane]	AKT3 [plasma membrane]		
202073	1	479	"Phospho-AKT3-2 (T305, S472) [plasma membrane]"	AKT3 [plasma membrane]		
202089	1	479	Phospho-AKT3-1 (T305) [plasma membrane]	AKT3 [plasma membrane]		
202067	1	479	"Phospho-AKT3-1 (T305, S472) [plasma membrane]"	AKT3 [plasma membrane]		
189438	57	640	"5-aminolevulinate synthase, non-specific [mitochondrial matrix]"	ALAS1 [mitochondrial matrix]		
1022086	57	640	"5-aminolevulinate synthase, non-specific (pyridoxal phosphate cofactor) [mitochondrial matrix]"	ALAS1 [mitochondrial matrix]		
189424	50	587	"5-aminolevulinate synthase, erythroid [mitochondrial matrix]"	ALAS2 [mitochondrial matrix]		
1022083	50	587	"5-aminolevulinate synthase, erythroid (pyridoxal phosphate cofactor) [mitochondrial matrix]"	ALAS2 [mitochondrial matrix]		
194115	25	609	Serum albumin [extracellular region]	ALB [extracellular region]		
114609	1	-1	Serum albumin precursor [extracellular region]	ALB [extracellular region]		
508031	1	793	Delta-1-pyrroline-5-carboxylate synthetase short [mitochondrial inner membrane]	ALDH18A1 [mitochondrial inner membrane]		
508039	1	795	Delta-1-pyrroline-5-carboxylate synthetase long [mitochondrial inner membrane]	ALDH18A1 [mitochondrial inner membrane]		
201502	19	1620	ALK tyrosine kinase receptor [plasma membrane]	ALK [plasma membrane]		
201535	19	1620	Phospho-ALK tyrosine kinase receptor [plasma membrane]	ALK [plasma membrane]		
2168855	20	198	Truncated Alpha1-Microglobulin [extracellular region]	AMBP [extracellular region]		
2168853	20	202	Alpha1-Microglobulin [extracellular region]	AMBP [extracellular region]		
2203514	20	202	Alpha1-Microglobulin (thioether-linked) [extracellular region]	AMBP [extracellular region]		
264468	null	null	Amphiphysin	AMPH		
264477	null	null	Amphiphysin	AMPH		
350814	null	null	AP-1 gamma subunit [Golgi membrane]	AP1G1 [Golgi membrane]		
350808	null	null	AP-1 gamma subunit [Golgi membrane]	AP1G1 [Golgi membrane]		
182227	1	-1	Plasma membrane adaptor AP-2 50 kDa protein [cytosol]	AP2M1 [cytosol]		
167559	null	null	AP-2 mu 2 [cytosol]	AP2M1 [cytosol]		
206068	1	-1	Phospho APC [cytosol]	APC [cytosol]		
195312	1	-1	phospho-APC_2 [cytosol]	APC [cytosol]		
195262	1	2843	APC_2 [cytosol]	APC [cytosol]		
205825	1	-1	Phospho (5 sites) APC [cytosol]	APC [cytosol]		
206246	1	-1	Phospho (2 sites) APC [cytosol]	APC [cytosol]		
202949	1	777	APC_1 fragment (1-777) [cytosol]	APC [cytosol]		
202945	778	2843	APC_2 fragment (778-2843) [cytosol]	APC [cytosol]		
202946	1	777	APC_2 fragment (1-777) [cytosol]	APC [cytosol]		
202955	778	2843	APC_1 fragment (778-2843) [cytosol]	APC [cytosol]		
205944	1	-1	Phospho (6 sites) APC [cytosol]	APC [cytosol]		
195267	1	2843	APC_1 [cytosol]	APC [cytosol]		
195315	1	-1	phospho-APC_1 [cytosol]	APC [cytosol]		
197469	1	265	Gamma-secretase subunit APH-1A [plasma membrane]	APH1A [plasma membrane]		
197470	1	265	Gamma-secretase subunit APH-1A [plasma membrane]	APH1A [plasma membrane]		
374319	42	77	Apelin-36 [extracellular region]	APLN [extracellular region]		
374320	47	77	Apelin-31 [extracellular region]	APLN [extracellular region]		
374318	50	77	Apelin-28 [extracellular region]	APLN [extracellular region]		
374315	65	77	Apelin-13 [extracellular region]	APLN [extracellular region]		
976865	25	107	Variant apolipoprotein AI [extracellular region]	APOA1 [extracellular region]		
264771	19	266	pro-apoA-I [extracellular region]	APOA1 [extracellular region]		
174720	25	266	apoA-I [extracellular region]	APOA1 [extracellular region]		
976882	21	94	Apolipoprotein A-IV amyloid fragment [extracellular region]	APOA4 [extracellular region]		
174701	21	396	apoA-IV [extracellular region]	APOA4 [extracellular region]		
174788	28	2179	apoB-48 [clathrin-coated endocytic vesicle membrane]	APOB [clathrin-coated endocytic vesicle membrane]		
171155	28	4563	apoB-100 [clathrin-coated endocytic vesicle membrane]	APOB [clathrin-coated endocytic vesicle membrane]		
2512789	28	4563	apoB-100 [endocytic vesicle lumen]	APOB [endocytic vesicle lumen]		
2239461	28	4563	oxidized apoB-100 [endocytic vesicle lumen]	APOB [endocytic vesicle lumen]		
2239446	28	4563	acetylated apoB-100 [endocytic vesicle lumen]	APOB [endocytic vesicle lumen]		
174716	28	2179	apoB-48 [endosome lumen]	APOB [endosome lumen]		
171119	28	4563	apoB-100 [endosome lumen]	APOB [endosome lumen]		
174762	28	2179	apoB-48 [endosome membrane]	APOB [endosome membrane]		
171121	28	4563	apoB-100 [endosome membrane]	APOB [endosome membrane]		
174770	28	2179	apoB-48 [extracellular region]	APOB [extracellular region]		
2173702	28	4563	oxidized apoB-100 [extracellular region]	APOB [extracellular region]		
2173751	28	4563	acetylated apoB-100 [extracellular region]	APOB [extracellular region]		
171065	28	4563	apoB-100 [extracellular region]	APOB [extracellular region]		
171089	28	4563	apoB-100 [plasma membrane]	APOB [plasma membrane]		
174625	28	2179	apoB-48 [plasma membrane]	APOB [plasma membrane]		
879340	672	713	Beta-amyloid protein 42 [extracellular region]	APP [extracellular region]		
49335	18	770	Amyloid beta A4 protein precursor [extracellular region]	APP [extracellular region]		
939158	672	711	Beta-amyloid protein 40 [extracellular region]	APP [extracellular region]		
879376	672	713	Beta-amyloid protein 42 [extracellular region]	APP [extracellular region]		
976740	672	711	Beta-amyloid protein 40 [extracellular region]	APP [extracellular region]		
432231	1	271	Aquaporin-2 phosphorylated at Ser256 [plasma membrane]	AQP2 [plasma membrane]		
431718	1	271	Aquaporin-2 [plasma membrane]	AQP2 [plasma membrane]		
432215	1	271	Aquaporin-2 [transport vesicle membrane]	AQP2 [transport vesicle membrane]		
432222	1	271	Aquaporin-2 phosphorylated at Ser256 [transport vesicle membrane]	AQP2 [transport vesicle membrane]		
195147	1	-1	Arap2 variant2 [cytosol]	ARAP1 [cytosol]		
195158	1	-1	Arap2 variant1 [cytosol]	ARAP1 [cytosol]		
200464	1	-1	GAP [cytosol]	ARFGAP1 [cytosol]		
200602	1	-1	GAP [cytosol]	ARFGAP1 [cytosol]		
195125	1	-1	Graf-2/ Arhgap10 [cytosol]	ARHGAP10 [cytosol]		
211702	1	-1	RHG10 [cytosol]	ARHGAP10 [cytosol]		
195208	1	-1	ArhGAP12 variant3 [cytosol]	ARHGAP12 [cytosol]		
195136	1	-1	ArhGAP12 variant2 [cytosol]	ARHGAP12 [cytosol]		
195169	1	-1	ArhGAP12 variant1 [cytosol]	ARHGAP12 [cytosol]		
195176	1	-1	Rich1 variant2 [cytosol]	ARHGAP17 [cytosol]		
195196	1	-1	Rich1 variant7 [cytosol]	ARHGAP17 [cytosol]		
195166	1	-1	Rich1 variant1 [cytosol]	ARHGAP17 [cytosol]		
195157	1	-1	Rich1 variant5 [cytosol]	ARHGAP17 [cytosol]		
195163	1	-1	Rich1 variant4 [cytosol]	ARHGAP17 [cytosol]		
195202	1	-1	Rich1 variant6 [cytosol]	ARHGAP17 [cytosol]		
195151	1	-1	Rich1 variant3 [cytosol]	ARHGAP17 [cytosol]		
200783	1	-1	ARHGAP20 variant4 [cytosol]	ARHGAP20 [cytosol]		
200754	1	-1	ARHGAP20 variant3 [cytosol]	ARHGAP20 [cytosol]		
200773	1	-1	ARHGAP20 variant1 [cytosol]	ARHGAP20 [cytosol]		
200750	1	-1	ARHGAP20 variant2 [cytosol]	ARHGAP20 [cytosol]		
200752	1	-1	ARHGAP23 variant2 [cytosol]	ARHGAP23 [cytosol]		
200772	1	-1	ARHGAP23 variant1 [cytosol]	ARHGAP23 [cytosol]		
195195	1	-1	FilGAP variant2 [cytosol]	ARHGAP24 [cytosol]		
195207	1	-1	FilGAP variant3 [cytosol]	ARHGAP24 [cytosol]		
195183	1	-1	FilGAP variant1 [cytosol]	ARHGAP24 [cytosol]		
200802	1	-1	ARHGAP25 variant1 [cytosol]	ARHGAP25 [cytosol]		
200801	1	-1	ARHGAP25 variant2 [cytosol]	ARHGAP25 [cytosol]		
200797	1	-1	ARHGAP28 variant2 [cytosol]	ARHGAP28 [cytosol]		
200796	1	-1	ARHGAP28 variant1 [cytosol]	ARHGAP28 [cytosol]		
200630	1	-1	RhoGAP102A homologvariant2 [cytosol]	ARHGAP36 [cytosol]		
200629	1	-1	RhoGAP102A homologvariant1 [cytosol]	ARHGAP36 [cytosol]		
195187	1	-1	ArhGAP6 variant1 [cytosol]	ARHGAP6 [cytosol]		
195139	1	-1	ArhGAP6 variant2 [cytosol]	ARHGAP6 [cytosol]		
195178	1	-1	ArhGAP6 variant3 [cytosol]	ARHGAP6 [cytosol]		
195143	1	-1	ArhGAP6 variant4 [cytosol]	ARHGAP6 [cytosol]		
195198	1	-1	ArhGAP6 variant5 [cytosol]	ARHGAP6 [cytosol]		
200782	1	-1	ArhGAP8 variant2 [cytosol]	ARHGAP8 [cytosol]		
200786	1	-1	ArhGAP8 variant1 [cytosol]	ARHGAP8 [cytosol]		
200764	1	-1	ArhGAP8 variant3 [cytosol]	ARHGAP8 [cytosol]		
195152	1	-1	ArhGAP9 variant2 [cytosol]	ARHGAP9 [cytosol]		
195209	1	-1	ArhGAP9 variant1 [cytosol]	ARHGAP9 [cytosol]		
195210	1	-1	ArhGAP9 variant3 [cytosol]	ARHGAP9 [cytosol]		
142025	1	-1	Rho guanine nucleotide exchange factor 1 (p115-RhoGEF) [plasma membrane]	ARHGEF1 [plasma membrane]		
194463	1	912	Rho guanine nucleotide exchange factor 1 [plasma membrane]	ARHGEF1 [plasma membrane]		
195088	1	-1	Larg variant1 [cytosol]	ARHGEF12 [cytosol]		
195083	1	-1	Larg variant2 [cytosol]	ARHGEF12 [cytosol]		
416560	1	1544	Rho guanine nucleotide exchange factor 12 [cytosol]	ARHGEF12 [cytosol]		
194976	1	-1	NBR variant2 [cytosol]	ARHGEF16 [cytosol]		
194960	1	-1	NBR variant1 [cytosol]	ARHGEF16 [cytosol]		
194979	1	-1	Arhgef3 variant2 [cytosol]	ARHGEF3 [cytosol]		
194959	1	-1	Arhgef3 variant1 [cytosol]	ARHGEF3 [cytosol]		
195031	1	-1	Asef variant1 [cytosol]	ARHGEF4 [cytosol]		
195030	1	-1	Asef variant3 [cytosol]	ARHGEF4 [cytosol]		
195071	1	-1	Cool-1 variant4 [cytosol]	ARHGEF7 [cytosol]		
195023	1	-1	Cool-1 variant2 [cytosol]	ARHGEF7 [cytosol]		
195079	1	-1	Cool-1 variant3 [cytosol]	ARHGEF7 [cytosol]		
195065	1	-1	Cool-1 variant1 [cytosol]	ARHGEF7 [cytosol]		
430346	1	-1	Beta-Pix [cytosol]	ARHGEF7 [cytosol]		
351686	1	1312	ARID48-1 [nucleoplasm]	ARID4B [nucleoplasm]		
351687	1	1312	ARID48-3 [nucleoplasm]	ARID4B [nucleoplasm]		
351685	1	1312	ARID48-4 [nucleoplasm]	ARID4B [nucleoplasm]		
351689	1	1312	ARID48-2 [nucleoplasm]	ARID4B [nucleoplasm]		
1614359	19	444	active ARSA-B [endoplasmic reticulum lumen]	ARSA [endoplasmic reticulum lumen]		
1614307	448	507	ARSA-C [endoplasmic reticulum lumen]	ARSA [endoplasmic reticulum lumen]		
1614334	19	444	ARSA-B [endoplasmic reticulum lumen]	ARSA [endoplasmic reticulum lumen]		
508497	19	444	active ARSA-B [lysosomal lumen]	ARSA [lysosomal lumen]		
1606798	448	507	ARSA-C [lysosomal lumen]	ARSA [lysosomal lumen]		
2314618	37	533	C117R-ARSB [lysosomal lumen]	ARSB [lysosomal lumen]		
2314619	37	533	P116H-ARSB [lysosomal lumen]	ARSB [lysosomal lumen]		
2314614	37	533	R95Q/H393P-ARSB [lysosomal lumen]	ARSB [lysosomal lumen]		
2314612	37	533	G144R-ARSB [lysosomal lumen]	ARSB [lysosomal lumen]		
2314606	37	533	Y86del-ARSB [lysosomal lumen]	ARSB [lysosomal lumen]		
